# units Angstroms
19699.0 0.15
19702.9 0.35
19736.2 0.05
19751.5 0.20
19771.8 0.52
19839.7 0.22
20008.2 1.05
20033.2 0.35
20193.3 0.15
20275.9 1.00
20339.5 0.55
20412.7 1.28
20499.3 0.27
20563.6 1.05
20672.9 0.03
20729.0 0.77
20860.3 0.20
20909.6 0.33
21068.0 0.22
21096.6
21105.7
21115.9 0.24
21156.1 0.12
21176.6 0.38
21232.5 0.15
21249.7 0.41
21279.1 0.05
21318.0
21326.0 0.16
21505.0
21507.3 1.20
21512.1
21537.6 0.30
21580.7 0.15
21711.1 0.25
21802.2 0.70
21873.5 0.35
21955.6 0.90
22125.5 0.80
22247.9 0.28
22312.7 0.50
22460.3 0.10
22518.0 0.25
22742.0 0.15
