Date		Mean		Sigma		Filter	Scale
2006-07-01	-0.19072390	0.075718629	Kn3	35	
2007-07-20	0.088797292	0.14183580	Kn3	35	
2008-05-16	-0.36417465	0.10578299	Kn3	35	
2009-05-07	-0.0061323681	0.06116898	Kn3	35	
2010-05-05	-0.00501985	0.048214412	Kn3	35	
2012-05-10	0.24504756	0.065833827	Kn3	35	
2013-05-16	0.22		0.12		Kn3	20	
2014-05-18	-0.28		0.11		Kn3	35	
2015-07-21	-0.6534200	0.42660178	Kn3	35	
2016-04-18	0.15973073	0.092983175	Jn2	35	
2016-04-21	-0.09		0.39		Kbb	35	
2017-05-17	0.07		0.06		Kn3	35	
2017-11-03	-0.88		0.04		Kbb	20	
2018-07-31	0.04		0.05		Kn3	35	
2019-05-11	0.33		0.06		Kn3	35	
2019-08-26	-0.01		0.05		Kn3	50	
2020-07-23	0.23		0.07		Kn3	35	
2020-07-29	0.26		0.03		Kbb	35	
2020-07-30	0.72		0.11		Kbb	20	
2020-08-13	0.71		0.08		Kn3	20	
2021-02-10	-0.04		0.07		Kn3	35	
2021-02-10	0.38		0.06		Kn3	50	
2021-05-07	0.01		0.07		Kn3 	35	
2021-05-16	0.41		0.08		Kn3	20	
2021-07-10	-0.03		0.07		Kn3	35	
2021-07-19	0.42		0.04		Kbb	20	
2021-08-15	0.58		0.06		Kn3	50		
2022-01-17	-0.03 		0.07 	 	Kn3	35	
2022-02-18	0.02 		0.08 	 	Kn3	35	
2022-05-11	-0.80 		0.06 	 	Kn3	35	
2022-05-15	-0.45 		0.04 	 	Kbb	20	
2022-07-06	-0.36		0.06		Kn3	50	
2022-07-09	-0.44 		0.04 	 	Kbb	20	
2022-10-11	-0.18 		0.07 	 	Kn3	35	
2023-07-06	-0.40 		0.07 	 	Kn3	35	
2023-07-06	0.00		0.07		Kn3 	50	
2023-07-13	1.06		0.05		Kn3	100	
2023-07-14	0.07		0.09		Kbb	20	
2024-05-30	0.07 		0.06 	 	Kn3	35	
2024-07-18	0.46		0.02		Kbb	20	
2024-07-27	0.46		0.03		Kbb	20	
2024-08-18	0.56		0.02		Kbb 	20	
2025-04-17	0.12		0.05		Kn3	35	
2025-05-13	0.06		0.06		Kn3	35	
2025-05-20	0.64		0.05		Kn3	50	
2025-05-21	0.42		0.03		Kbb	20	
2025-05-22	0.98		0.06		Kc3	100	
2026-05-08	0.62		0.06		Kn3	35
2026-05-22	1.05		0.03		Kbb	50
2026-05-24 	0.95		0.06		Kn3	50
2026-07-13	0.30		0.06		Kn3	35
2026-07-14	0.30		0.06		Kn3	35
2026-07-17	0.69		0.07		Kn3	50
2026-07-21	0.73		0.05		Kn3	50


